%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=211065, 2021/04/1 1:24:59.65)
34 205  1.496170000000000000e+05 0 0 3.446668e-01 4.163987e-01 
35 211  1.404020000000000000e+05 0 0 3.488715e-01 4.256218e-01 
36 217  1.353970000000000000e+05 0 0 3.528503e-01 4.307584e-01 
37 223  1.344170000000000000e+05 0 0 3.617608e-01 4.453328e-01 
38 229  1.378770000000000000e+05 0 0 3.587127e-01 4.424746e-01 
39 235  1.300420000000000000e+05 0 0 3.606129e-01 4.487744e-01 
40 241  1.251130000000000000e+05 0 0 3.600169e-01 4.516679e-01 
41 247  1.162860000000000000e+05 0 0 3.841728e-01 4.730814e-01 
42 253  1.096390000000000000e+05 0 0 3.852627e-01 4.892117e-01 
43 259  9.929000000000000000e+04 0 0 4.096793e-01 5.253281e-01 
44 265  1.423200000000000000e+05 0 0 3.881395e-01 5.188319e-01 
45 271  8.338900000000000000e+04 0 0 4.230612e-01 5.561508e-01 
46 277  1.263280000000000000e+05 0 0 4.520604e-01 5.873288e-01 
47 283  8.607700000000000000e+04 0 0 4.217377e-01 5.460048e-01 
48 289  8.573900000000000000e+04 0 0 4.212731e-01 5.510504e-01 
49 295  8.732800000000000000e+04 0 0 4.299177e-01 5.730229e-01 
50 301  8.766900000000000000e+04 0 0 4.171914e-01 5.455656e-01 
51 307  8.536200000000000000e+04 0 0 4.195018e-01 5.520824e-01 
52 313  8.850100000000000000e+04 0 0 4.224030e-01 5.523233e-01 
53 319  8.846000000000000000e+04 0 0 4.384260e-01 5.763744e-01 
54 325  8.071500000000000000e+04 0 0 4.246845e-01 5.592868e-01 
55 331  8.107300000000000000e+04 0 0 4.326185e-01 5.717405e-01 
56 337  8.227500000000000000e+04 0 0 4.310751e-01 5.692181e-01 
57 343  8.206200000000000000e+04 0 0 4.362500e-01 5.774521e-01 
58 349  8.211600000000000000e+04 0 0 4.401180e-01 5.848074e-01 
59 355  7.904100000000000000e+04 0 0 4.457531e-01 5.959777e-01 
60 361  7.569000000000000000e+04 0 0 4.500154e-01 6.102037e-01 
61 367  7.611000000000000000e+04 0 0 4.470891e-01 6.059779e-01 
62 373  7.663100000000000000e+04 0 0 4.552430e-01 6.187370e-01 
63 379  7.680200000000000000e+04 0 0 4.535648e-01 6.149222e-01 
64 385  7.759700000000000000e+04 0 0 4.473256e-01 6.058912e-01 
65 391  7.545900000000000000e+04 0 0 4.490348e-01 6.104438e-01 
66 397  7.816600000000000000e+04 0 0 4.501858e-01 6.121676e-01 
67 403  7.698600000000000000e+04 0 0 4.440643e-01 5.997542e-01 
68 409  8.026200000000000000e+04 0 0 4.513235e-01 6.105937e-01 
69 415  7.908300000000000000e+04 0 0 4.437802e-01 5.962424e-01 
70 421  7.862700000000000000e+04 0 0 4.429692e-01 5.949083e-01 
71 427  8.133000000000000000e+04 0 0 4.473747e-01 6.037335e-01 
72 433  8.015400000000000000e+04 0 0 4.465645e-01 6.058941e-01 
73 439  7.664200000000000000e+04 0 0 4.494547e-01 6.119188e-01 
74 445  7.470500000000000000e+04 0 0 4.495068e-01 6.123208e-01 
75 451  7.974300000000000000e+04 0 0 4.468928e-01 6.092572e-01 
76 457  7.725100000000000000e+04 0 0 4.485360e-01 6.097482e-01 
77 463  7.541000000000000000e+04 0 0 4.444588e-01 6.001473e-01 
78 469  8.040800000000000000e+04 0 0 4.460913e-01 6.025427e-01 
79 475  7.482700000000000000e+04 0 0 4.458423e-01 6.032274e-01 
